movie,processed_movie,expanded-genres,Associated Music Genres
   Midnight in Paris (2011),midnight in paris,"Comedy, Fantasy, Romance","indie,folk,ambient,romantic,soundtrack,epic-fantasy,pop,singer-songwriter,alternative,world-music,r-n-b,rock,soul"
   Nerve (2016),nerve,"Action, Adventure, Crime","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,reggae,trap,drum-and-bass,grime,hip-hop,new-age,rock,metal,world-music,electronic"
   Battle Royale,battle royale,"Action, Adventure, Drama","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,piano,singer-songwriter,indie-pop,drum-and-bass,new-age,rock,metal,world-music,electronic,indie"
   Friends with Benefits,friends with benefits,"Comedy, Romance","folk,romantic,pop,singer-songwriter,r-n-b,indie,soul"
   Predator,predator,"Action, Adventure, Horror","acoustic,darkwave,folk,punk,ambient,dubstep,hard-rock,alternative,drum-and-bass,dark-ambient,noise,new-age,rock,metal,world-music,electronic,industrial"
   Happy Gilmore (1996),happy gilmore,"Comedy, Sport","edm,pop,pump-up,hip-hop,rock,dance,electronic"
   Sleeping Beauty (1959),sleeping beauty,"Animation, Adventure, Family","acoustic,folk,ambient,upbeat,children,pop,singer-songwriter,kids,new-age,alternative,world-music,rock,fun"
   Drive (2011),drive,"Action, Drama","acoustic,piano,punk,dubstep,hard-rock,alternative,singer-songwriter,indie-pop,drum-and-bass,rock,metal,electronic,indie"
   The Hitchhiker's Guide to the Galaxy (2005),the hitchhiker's guide to the galaxy,"Adventure, Comedy, Sci-Fi","acoustic,folk,ambient,chill,synth-pop,retro,synthwave,space,new-age,alternative,world-music,electronic,rock"
   Léon: The Professional (1994),léon: the professional,"Action, Crime, Drama","acoustic,piano,punk,reggae,dubstep,hard-rock,alternative,singer-songwriter,trap,indie-pop,drum-and-bass,grime,hip-hop,rock,metal,electronic,indie"
   The Devil Wears Prada (2006),the devil wears prada,,
   The Mask of Zorro (1998),the mask of zorro,"Action, Adventure, Comedy","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,drum-and-bass,new-age,rock,metal,world-music,electronic"
   Breathless (1960),breathless,"Action, Drama, Romance","acoustic,piano,punk,r-n-b,dubstep,hard-rock,alternative,folk,romantic,pop,singer-songwriter,indie-pop,drum-and-bass,rock,metal,electronic,indie,soul"
   The Revenant (2015),the revenant,"Action, Adventure, Drama","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,piano,singer-songwriter,indie-pop,drum-and-bass,new-age,rock,metal,world-music,electronic,indie"
   9 (2009),9,"Animation, Action, Adventure","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,drum-and-bass,new-age,rock,metal,world-music,electronic"
   Flushed Away (2006),flushed away,"Animation, Action, Adventure","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,drum-and-bass,new-age,rock,metal,world-music,electronic"
   Valerian and the City of a Thousand Planets (2017),valerian and the city of a thousand planets,"Action, Adventure, Fantasy","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,epic-fantasy,soundtrack,drum-and-bass,new-age,rock,metal,world-music,electronic"
   Charlie’s Angels (2000),charlie’s angels,,
   Disturbia (2007),disturbia,"Crime, Drama, Mystery","piano,downtempo,indie-pop,dubstep,singer-songwriter,synthwave,grime,dark-ambient,trip-hop,acoustic,reggae,ambient,trap,chill,electronic,alternative,drum-and-bass,hip-hop,rock,indie"
   V for Vendetta (2005),v for vendetta,"Action, Drama, Sci-Fi","piano,indie-pop,rock,dubstep,synth-pop,singer-songwriter,synthwave,retro,acoustic,ambient,hard-rock,space,metal,chill,electronic,punk,drum-and-bass,alternative,indie"
   Home (2015),home,"Animation, Adventure, Comedy","acoustic,folk,ambient,new-age,alternative,world-music,rock"
   The Virgin Suicides (1999),the virgin suicides,"Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Kong: Skull Island (2017),kong: skull island,"Action, Adventure, Fantasy","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,epic-fantasy,soundtrack,drum-and-bass,new-age,rock,metal,world-music,electronic"
   Bad Moms (2016),bad moms,,
   The Santa Clause (trilogy),the santa clause,"Comedy, Drama, Family","acoustic,piano,folk,children,pop,singer-songwriter,rock,indie-pop,kids,alternative,upbeat,indie,fun"
   North By Northwest (1959),north by northwest,"Action, Adventure, Mystery","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,chill,synthwave,downtempo,drum-and-bass,dark-ambient,new-age,rock,metal,world-music,electronic,trip-hop"
   Fantastic Mr. Fox (2009),fantastic mr. fox,"Animation, Adventure, Comedy","acoustic,folk,ambient,new-age,alternative,world-music,rock"
   La Haine (1995),la haine,"Crime, Drama","acoustic,piano,reggae,dubstep,singer-songwriter,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,electronic,indie"
   Memories Of Murder (2003),memories of murder,"Crime, Drama, Mystery","piano,downtempo,indie-pop,dubstep,singer-songwriter,synthwave,grime,dark-ambient,trip-hop,acoustic,reggae,ambient,trap,chill,electronic,alternative,drum-and-bass,hip-hop,rock,indie"
   Spy Kids (2001),spy kids,"Action, Adventure, Comedy","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,drum-and-bass,new-age,rock,metal,world-music,electronic"
   Fritz The Cat,fritz the cat,"Animation, Comedy, Drama","acoustic,piano,singer-songwriter,rock,indie-pop,alternative,indie"
   The Edge of Seventeen (2016),the edge of seventeen,,
   Falling Down (1993),falling down,"Action, Crime, Drama","acoustic,piano,punk,reggae,dubstep,hard-rock,alternative,singer-songwriter,trap,indie-pop,drum-and-bass,grime,hip-hop,rock,metal,electronic,indie"
   Terminator,terminator,,
   Primal Fear (1996),primal fear,"Crime, Drama, Mystery","piano,downtempo,indie-pop,dubstep,singer-songwriter,synthwave,grime,dark-ambient,trip-hop,acoustic,reggae,ambient,trap,chill,electronic,alternative,drum-and-bass,hip-hop,rock,indie"
   The Golden Compass (2007),the golden compass,"Adventure, Family, Fantasy","acoustic,folk,ambient,upbeat,children,pop,epic-fantasy,singer-songwriter,soundtrack,kids,new-age,alternative,world-music,rock,fun"
   Shaun Of The Dead,shaun of the dead,"Comedy, Horror","darkwave,ambient,dark-ambient,noise,metal,electronic,industrial"
   Closer (2004),closer,"Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   The Call (2020),the call,"Action, Thriller","punk,ambient,dubstep,hard-rock,synthwave,drum-and-bass,dark-ambient,rock,metal,chill,electronic"
   School of Rock (2003),school of rock,,
   Honey Boy (2019),honey boy,,
   Nim's Island,nim's island,"Adventure, Comedy, Drama","acoustic,indie,folk,ambient,piano,singer-songwriter,indie-pop,new-age,alternative,world-music,rock"
   Fatal Attraction (1987),fatal attraction,"Drama, Thriller","acoustic,piano,ambient,dubstep,singer-songwriter,synthwave,rock,indie-pop,drum-and-bass,alternative,dark-ambient,chill,electronic,indie"
   Total Recall (1990),total recall,"Action, Adventure, Sci-Fi","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,chill,synth-pop,retro,synthwave,drum-and-bass,space,new-age,rock,metal,world-music,electronic"
   Billy Elliot (2000),billy elliot,,
   The Hitman's Bodyguard (2017),the hitman's bodyguard,"Action, Comedy, Crime","punk,reggae,dubstep,hard-rock,trap,drum-and-bass,grime,hip-hop,rock,metal,electronic"
   Thelma & Louise (1991),thelma & louise,"Adventure, Crime, Drama","acoustic,indie,folk,ambient,reggae,dubstep,piano,singer-songwriter,trap,indie-pop,drum-and-bass,grime,hip-hop,new-age,alternative,world-music,electronic,rock"
   American Hustle (2013),american hustle,"Crime, Drama","acoustic,piano,reggae,dubstep,singer-songwriter,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,electronic,indie"
   Creep,creep,"Horror, Thriller","darkwave,ambient,dubstep,synthwave,drum-and-bass,dark-ambient,noise,metal,chill,electronic,industrial"
   Green Street Hooligans (2005),green street hooligans,"Crime, Drama, Sport","acoustic,piano,reggae,edm,dubstep,pop,singer-songwriter,trap,rock,indie-pop,drum-and-bass,pump-up,grime,hip-hop,alternative,dance,electronic,indie"
   Ready or Not (2019),ready or not,"Action, Comedy, Horror","darkwave,punk,ambient,dubstep,hard-rock,drum-and-bass,dark-ambient,noise,rock,metal,electronic,industrial"
   E.T. the Extra-Terrestrial (1982),e.t. the extra-terrestrial,,
   The Raid (2011),the raid,"Action, Drama, War","acoustic,piano,punk,patriotic,dubstep,hard-rock,alternative,soundtrack,singer-songwriter,indie-pop,drum-and-bass,rock,metal,world-music,electronic,indie"
   The Pianist (2002),the pianist,"Biography, Drama, Music","acoustic,country,folk,piano,jazz,funk,blues,pop,singer-songwriter,rock,indie-pop,hip-hop,alternative,r-n-b,indie,soul"
   First Man (2018),first man,"Biography, Drama, History","acoustic,country,folk,piano,ambient,classical,pop,epic,singer-songwriter,rock,indie-pop,world-music,opera,alternative,symphony,indie"
   Little Shop of Horrors,little shop of horrors,"Comedy, Horror, Musical","darkwave,dance,ambient,r-n-b,pop,singer-songwriter,dark-ambient,noise,musical-theatre,metal,electronic,indie,industrial,soul"
   Ben-Hur (1959),ben-hur,,
   The Mortal Instruments: City of Bones (2013),the mortal instruments: city of bones,"Action, Adventure, Fantasy","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,epic-fantasy,soundtrack,drum-and-bass,new-age,rock,metal,world-music,electronic"
"   Lock, Stock and Two Smoking Barrels (1998)","lock, stock and two smoking barrels","Action, Comedy, Crime","punk,reggae,dubstep,hard-rock,trap,drum-and-bass,grime,hip-hop,rock,metal,electronic"
   It Follows (2014),it follows,"Horror, Mystery, Thriller","darkwave,chill,ambient,dubstep,synthwave,downtempo,drum-and-bass,dark-ambient,noise,metal,trip-hop,electronic,industrial"
   Palo Alto (2013),palo alto,,
   Withnail & I (1987),withnail & i,,
   The Goldfinch (2019),the goldfinch,,
   Once Upon a Time in the West (1968),once upon a time in the west,,
   Gully Boy (2019),gully boy,"Drama, Music, Romance","acoustic,jazz,piano,folk,funk,blues,pop,romantic,singer-songwriter,rock,indie-pop,hip-hop,alternative,r-n-b,indie,soul"
   Fantastic Four (2015),fantastic four,"Action, Adventure, Sci-Fi","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,chill,synth-pop,retro,synthwave,drum-and-bass,space,new-age,rock,metal,world-music,electronic"
   Slumdog Millionaire (2008),slumdog millionaire,"Crime, Drama, Romance","piano,pop,indie-pop,folk,dubstep,singer-songwriter,grime,acoustic,reggae,trap,electronic,alternative,romantic,drum-and-bass,hip-hop,rock,r-n-b,indie,soul"
   Tucker & Dale vs. Evil (2010),tucker & dale vs. evil,,
   Something's Gotta Give (2003),something's gotta give,"Comedy, Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   The Prince of Egypt (1998),the prince of egypt,"Animation, Adventure, Drama","acoustic,indie,folk,ambient,piano,singer-songwriter,indie-pop,new-age,alternative,world-music,rock"
   Rango,rango,"Animation, Action, Adventure","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,drum-and-bass,new-age,rock,metal,world-music,electronic"
   Atomic Blonde,atomic blonde,"Action, Thriller","punk,ambient,dubstep,hard-rock,synthwave,drum-and-bass,dark-ambient,rock,metal,chill,electronic"
   Million Dollar Baby (2004),million dollar baby,"Drama, Sport","acoustic,piano,edm,pop,singer-songwriter,rock,indie-pop,pump-up,hip-hop,alternative,dance,electronic,indie"
   My Sassy Girl (2001),my sassy girl,"Comedy, Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   My Life as a Zucchini,my life as a zucchini,"Animation, Comedy, Drama","acoustic,piano,singer-songwriter,rock,indie-pop,alternative,indie"
   Super Dark Times (2017),super dark times,"Crime, Drama, Horror","piano,indie-pop,darkwave,dubstep,singer-songwriter,grime,noise,dark-ambient,acoustic,reggae,ambient,trap,metal,electronic,alternative,drum-and-bass,hip-hop,rock,indie,industrial"
   West Side Story (1961),west side story,"Crime, Drama, Musical","piano,pop,indie-pop,dubstep,singer-songwriter,grime,acoustic,reggae,trap,electronic,alternative,drum-and-bass,hip-hop,rock,dance,r-n-b,indie,musical-theatre,soul"
   Seven Samurai (1954),seven samurai,"Action, Drama","acoustic,piano,punk,dubstep,hard-rock,alternative,singer-songwriter,indie-pop,drum-and-bass,rock,metal,electronic,indie"
   Ready Player One (2018),ready player one,"Action, Adventure, Sci-Fi","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,chill,synth-pop,retro,synthwave,drum-and-bass,space,new-age,rock,metal,world-music,electronic"
   Nightcrawler (2014),nightcrawler,"Crime, Drama, Thriller","acoustic,piano,reggae,ambient,dubstep,singer-songwriter,synthwave,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,dark-ambient,chill,electronic,indie"
   Our Times (2015),our times,"Comedy, Romance","folk,romantic,pop,singer-songwriter,r-n-b,indie,soul"
   Tag (2018),tag,"Action, Comedy","punk,dubstep,hard-rock,drum-and-bass,rock,metal,electronic"
   The Fighter (2010),the fighter,"Action, Biography, Drama","acoustic,country,folk,punk,piano,dubstep,hard-rock,alternative,pop,singer-songwriter,indie-pop,drum-and-bass,rock,metal,electronic,indie"
   The English Patient,the english patient,"Drama, Romance, War","acoustic,piano,folk,patriotic,punk,romantic,pop,singer-songwriter,soundtrack,rock,indie-pop,alternative,metal,world-music,r-n-b,indie,soul"
   I Saw the Devil (2010),i saw the devil,"Action, Crime, Drama","acoustic,piano,punk,reggae,dubstep,hard-rock,alternative,singer-songwriter,trap,indie-pop,drum-and-bass,grime,hip-hop,rock,metal,electronic,indie"
   Small Soldiers ( 1998 ),small soldiers,"Action, Adventure, Comedy","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,drum-and-bass,new-age,rock,metal,world-music,electronic"
   There's Something About Mary (1998),there's something about mary,"Comedy, Romance","folk,romantic,pop,singer-songwriter,r-n-b,indie,soul"
   Cool Hand Luke (1967),cool hand luke,"Crime, Drama","acoustic,piano,reggae,dubstep,singer-songwriter,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,electronic,indie"
   Glengarry Glen Ross (1992),glengarry glen ross,"Crime, Drama, Mystery","piano,downtempo,indie-pop,dubstep,singer-songwriter,synthwave,grime,dark-ambient,trip-hop,acoustic,reggae,ambient,trap,chill,electronic,alternative,drum-and-bass,hip-hop,rock,indie"
   On the Road (2012 ),on the road,"Adventure, Drama, Romance","acoustic,indie,folk,ambient,piano,romantic,pop,singer-songwriter,indie-pop,new-age,alternative,world-music,r-n-b,rock,soul"
   Doctor Zhivago (1965),doctor zhivago,"Drama, Romance, War","acoustic,piano,folk,patriotic,punk,romantic,pop,singer-songwriter,soundtrack,rock,indie-pop,alternative,metal,world-music,r-n-b,indie,soul"
   La Strada (1954),la strada,,
   I Love You Phillip Morris (2009),i love you phillip morris,"Biography, Comedy, Crime","acoustic,country,folk,reggae,dubstep,pop,singer-songwriter,trap,indie-pop,drum-and-bass,grime,hip-hop,electronic,indie"
   Mortdecai (2015),mortdecai,"Action, Adventure, Comedy","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,drum-and-bass,new-age,rock,metal,world-music,electronic"
   Dead Man's Shoes (2004),dead man's shoes,"Crime, Drama, Thriller","acoustic,piano,reggae,ambient,dubstep,singer-songwriter,synthwave,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,dark-ambient,chill,electronic,indie"
   Klaus (2019),klaus,"Animation, Adventure, Comedy","acoustic,folk,ambient,new-age,alternative,world-music,rock"
   Scent of a Woman (1992),scent of a woman,,
   The Favourite (2018),the favourite,"Biography, Comedy, Drama","acoustic,country,folk,piano,pop,singer-songwriter,rock,indie-pop,alternative,indie"
   Power Rangers (2017),power rangers,"Action, Adventure, Fantasy","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,epic-fantasy,soundtrack,drum-and-bass,new-age,rock,metal,world-music,electronic"
   Lucy (2014),lucy,"Action, Sci-Fi, Thriller","punk,ambient,dubstep,hard-rock,synth-pop,retro,synthwave,drum-and-bass,space,dark-ambient,rock,metal,chill,electronic"
   The King Of Comedy (1982),the king of comedy,"Comedy, Crime, Drama","acoustic,piano,reggae,dubstep,singer-songwriter,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,electronic,indie"
   Hell or High Water,hell or high water,"Crime, Drama, Thriller","acoustic,piano,reggae,ambient,dubstep,singer-songwriter,synthwave,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,dark-ambient,chill,electronic,indie"
   James and the Giant Peach ( 1996),james and the giant peach,"Animation, Adventure, Family","acoustic,folk,ambient,upbeat,children,pop,singer-songwriter,kids,new-age,alternative,world-music,rock,fun"
   Dawn of the Dead (1978),dawn of the dead,"Action, Horror","darkwave,punk,ambient,dubstep,hard-rock,drum-and-bass,dark-ambient,noise,rock,metal,electronic,industrial"
   War of the Worlds (2005),war of the worlds,"Action, Adventure, Sci-Fi","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,chill,synth-pop,retro,synthwave,drum-and-bass,space,new-age,rock,metal,world-music,electronic"
   Eurovision Song Contest: The Story of Fire Saga,eurovision song contest: the story of fire saga,,
   Flash Gordon (1980),flash gordon,"Action, Adventure, Sci-Fi","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,chill,synth-pop,retro,synthwave,drum-and-bass,space,new-age,rock,metal,world-music,electronic"
   The Trial of the Chicago 7 (2020),the trial of the chicago 7,"Drama, History, Thriller","piano,epic,indie-pop,opera,dubstep,singer-songwriter,synthwave,dark-ambient,acoustic,ambient,chill,world-music,classical,electronic,alternative,drum-and-bass,rock,symphony,indie"
   Antz (1998),antz,"Animation, Adventure, Comedy","acoustic,folk,ambient,new-age,alternative,world-music,rock"
   The Sisters Brothers (2018),the sisters brothers,,
   Richard Jewell (2019),richard jewell,"Biography, Crime, Drama","acoustic,country,folk,reggae,piano,dubstep,pop,singer-songwriter,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,electronic,indie"
   Elvira: Mistress of the Dark (1988),elvira: mistress of the dark,"Comedy, Horror","darkwave,ambient,dark-ambient,noise,metal,electronic,industrial"
   Mary and the Witch's Flower (2017),mary and the witch's flower,"Animation, Adventure, Family","acoustic,folk,ambient,upbeat,children,pop,singer-songwriter,kids,new-age,alternative,world-music,rock,fun"
   The Untouchables (1987),the untouchables,"Crime, Drama, Thriller","acoustic,piano,reggae,ambient,dubstep,singer-songwriter,synthwave,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,dark-ambient,chill,electronic,indie"
   Threat Level Midnight (2019),threat level midnight,,
   Frances Ha (2012),frances ha,"Comedy, Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Let it Shine,let it shine,,
   Layer Cake (2004),layer cake,"Action, Crime, Drama","acoustic,piano,punk,reggae,dubstep,hard-rock,alternative,singer-songwriter,trap,indie-pop,drum-and-bass,grime,hip-hop,rock,metal,electronic,indie"
   Terkel in Trouble (Terkel i knibe; 2004),terkel in trouble,,
   Mansfield Park (1999),mansfield park,"Comedy, Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Big Daddy,big daddy,"Adventure, Crime, Drama","acoustic,indie,folk,ambient,reggae,dubstep,piano,singer-songwriter,trap,indie-pop,drum-and-bass,grime,hip-hop,new-age,alternative,world-music,electronic,rock"
   Watership Down (1978),watership down,"Animation, Adventure, Drama","acoustic,indie,folk,ambient,piano,singer-songwriter,indie-pop,new-age,alternative,world-music,rock"
   6 Underground (2019),6 underground,"Action, Thriller","punk,ambient,dubstep,hard-rock,synthwave,drum-and-bass,dark-ambient,rock,metal,chill,electronic"
   Halloweentown (1998),halloweentown,,
   Rashomon (1950),rashomon,"Crime, Drama, Mystery","piano,downtempo,indie-pop,dubstep,singer-songwriter,synthwave,grime,dark-ambient,trip-hop,acoustic,reggae,ambient,trap,chill,electronic,alternative,drum-and-bass,hip-hop,rock,indie"
   Quills (2000),quills,"Biography, Drama","acoustic,country,folk,piano,pop,singer-songwriter,rock,indie-pop,alternative,indie"
   Michael Clayton (2007),michael clayton,"Crime, Drama, Mystery","piano,downtempo,indie-pop,dubstep,singer-songwriter,synthwave,grime,dark-ambient,trip-hop,acoustic,reggae,ambient,trap,chill,electronic,alternative,drum-and-bass,hip-hop,rock,indie"
   From Dusk Till Dawn (1996),from dusk till dawn,"Action, Crime, Horror","darkwave,punk,reggae,dubstep,hard-rock,ambient,trap,drum-and-bass,dark-ambient,grime,noise,hip-hop,rock,metal,electronic,industrial"
   Murder by Numbers (2002),murder by numbers,"Crime, Mystery, Thriller","chill,reggae,ambient,dubstep,synthwave,trap,downtempo,drum-and-bass,grime,hip-hop,dark-ambient,trip-hop,electronic"
   The Basketball Diaries (1995),the basketball diaries,"Biography, Crime, Drama","acoustic,country,folk,reggae,piano,dubstep,pop,singer-songwriter,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,electronic,indie"
   Missing Link (2019),missing link,"Animation, Adventure, Comedy","acoustic,folk,ambient,new-age,alternative,world-music,rock"
   Cool World (1992),cool world,"Animation, Comedy, Fantasy","folk,ambient,soundtrack,epic-fantasy,alternative,world-music,rock"
   Vampire Academy: Blood Sisters (2014),vampire academy: blood sisters,,
   Queen of the Damned,queen of the damned,"Drama, Fantasy, Horror","acoustic,darkwave,piano,folk,ambient,metal,epic-fantasy,singer-songwriter,soundtrack,rock,indie-pop,noise,alternative,dark-ambient,world-music,electronic,indie,industrial"
   21 (2008),21,Horror,"darkwave,ambient,dark-ambient,noise,metal,electronic,industrial"
   Pixels,pixels,"Action, Comedy, Fantasy","folk,punk,ambient,dubstep,hard-rock,alternative,epic-fantasy,soundtrack,drum-and-bass,rock,metal,world-music,electronic"
   Life as We Know It (2010),life as we know it,"Comedy, Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Mortal Kombat films,mortal kombat films,,
   The Call of the Wild (2020),the call of the wild,"Adventure, Drama, Family","acoustic,indie,folk,ambient,piano,upbeat,children,pop,singer-songwriter,indie-pop,kids,new-age,alternative,world-music,rock,fun"
   Strange Days (1995),strange days,"Crime, Drama, Sci-Fi","piano,indie-pop,dubstep,synth-pop,singer-songwriter,synthwave,retro,grime,acoustic,reggae,ambient,trap,space,chill,electronic,alternative,drum-and-bass,hip-hop,rock,indie"
   Prince Of Egypt (1998),prince of egypt,,
   The Fundamentals of Caring (2016),the fundamentals of caring,,
   In the Heart of the Sea (2015),in the heart of the sea,"Action, Adventure, Biography","acoustic,country,folk,punk,ambient,dubstep,hard-rock,alternative,pop,singer-songwriter,indie-pop,drum-and-bass,new-age,rock,metal,world-music,electronic,indie"
   Memento (2000),memento,"Mystery, Thriller","ambient,dubstep,synthwave,downtempo,drum-and-bass,dark-ambient,chill,electronic,trip-hop"
   Dirty Grandpa (2016),dirty grandpa,,
   Point Break (1991),point break,"Action, Crime, Thriller","punk,reggae,dubstep,hard-rock,ambient,synthwave,trap,drum-and-bass,dark-ambient,grime,hip-hop,rock,metal,chill,electronic"
   The Diary of a Teenage Girl (2015),the diary of a teenage girl,"Comedy, Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Manic (2001),manic,,
   Never Been Kissed (1999),never been kissed,"Comedy, Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Underworld,underworld,"Action, Fantasy, Thriller","folk,punk,ambient,dubstep,hard-rock,alternative,chill,epic-fantasy,soundtrack,synthwave,drum-and-bass,dark-ambient,rock,metal,world-music,electronic"
   The Book of Sun (شمس المعارف),the book of sun,,
   Annie Hall (1977),annie hall,"Comedy, Romance","folk,romantic,pop,singer-songwriter,r-n-b,indie,soul"
   Soul (2020),soul,"Animation, Adventure, Comedy","acoustic,folk,ambient,new-age,alternative,world-music,rock"
   Dangerous Liaisons (1988),dangerous liaisons,"Drama, Mystery, Romance","piano,pop,downtempo,indie-pop,folk,singer-songwriter,synthwave,dark-ambient,trip-hop,acoustic,ambient,chill,electronic,alternative,romantic,rock,r-n-b,indie,soul"
   Flight of the Navigator (1986),flight of the navigator,"Adventure, Comedy, Family","acoustic,folk,ambient,upbeat,children,pop,singer-songwriter,kids,new-age,alternative,world-music,rock,fun"
   The Squid and the Whale,the squid and the whale,,
   The Talented Mr. Ripley (1999),the talented mr. ripley,"Crime, Drama, Thriller","acoustic,piano,reggae,ambient,dubstep,singer-songwriter,synthwave,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,dark-ambient,chill,electronic,indie"
   The Abyss,the abyss,"Adventure, Drama, Mystery","acoustic,indie,folk,ambient,piano,chill,trip-hop,singer-songwriter,synthwave,downtempo,indie-pop,new-age,alternative,dark-ambient,world-music,electronic,rock"
   The Blue Lagoon (1980),the blue lagoon,"Adventure, Drama, Romance","acoustic,indie,folk,ambient,piano,romantic,pop,singer-songwriter,indie-pop,new-age,alternative,world-music,r-n-b,rock,soul"
   Set It Up (2018),set it up,"Comedy, Romance","folk,romantic,pop,singer-songwriter,r-n-b,indie,soul"
   Sling Blade (1996),sling blade,,
   Funny Girl,funny girl,"Biography, Comedy, Drama","acoustic,country,folk,piano,pop,singer-songwriter,rock,indie-pop,alternative,indie"
   A Rainy Day in New York (2019),a rainy day in new york,"Comedy, Romance","folk,romantic,pop,singer-songwriter,r-n-b,indie,soul"
   Big Trouble in Little China (1986),big trouble in little china,"Action, Adventure, Comedy","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,drum-and-bass,new-age,rock,metal,world-music,electronic"
   Doom (2005),doom,"Action, Horror, Sci-Fi","darkwave,punk,ambient,dubstep,hard-rock,synth-pop,retro,synthwave,drum-and-bass,space,dark-ambient,noise,rock,metal,chill,electronic,industrial"
   Day of the Dead (1985),day of the dead,"Horror, Thriller","darkwave,ambient,dubstep,synthwave,drum-and-bass,dark-ambient,noise,metal,chill,electronic,industrial"
   The Dead Zone (1983),the dead zone,"Drama, Horror, Sci-Fi","piano,indie-pop,darkwave,synth-pop,singer-songwriter,synthwave,retro,noise,dark-ambient,acoustic,ambient,space,metal,chill,electronic,alternative,rock,indie,industrial"
   Kangaroo Jack,kangaroo jack,"Action, Adventure, Comedy","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,drum-and-bass,new-age,rock,metal,world-music,electronic"
   Teenage Mutant Ninja Turtles (1990-2016),teenage mutant ninja turtles,"Action, Adventure, Comedy","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,drum-and-bass,new-age,rock,metal,world-music,electronic"
   The Accountant (2016),the accountant,"Action, Thriller","punk,ambient,dubstep,hard-rock,synthwave,drum-and-bass,dark-ambient,rock,metal,chill,electronic"
   Batman (1966),batman,"Action, Adventure","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,drum-and-bass,new-age,rock,metal,world-music,electronic"
   Failure to Launch,failure to launch,"Comedy, Romance","folk,romantic,pop,singer-songwriter,r-n-b,indie,soul"
   Before We Go (2014),before we go,"Comedy, Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Cannibal Holocaust,cannibal holocaust,"Adventure, Horror","acoustic,darkwave,folk,ambient,metal,noise,new-age,alternative,dark-ambient,world-music,electronic,rock,industrial"
   Stuck in Love,stuck in love,,
   Big Time Adolescence,big time adolescence,,
